서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
금연캠프사업,"- (전문치료형) 중증고도흡연자* 대상, 최소 5일 이상 지역금연지원센터에 입원하여 전문적 치료․상담, 니코틴보조제, 금연치료제 제공 등 프로그램 제공하고 6개월간 9회 이상 대면상담, 전화상담 제공
* 흡연관련 질병력(악성종양, 만성 폐질환, 심뇌혈관질환 등)이 있는 흡연자 또는 20년 이상 담배를 피우고, 2회 이상 금연실패 경험이 있는 흡연자
- (입원환자지원서비스) 병원입원환자를 대상으로 금연상태 측정, 금연상담 및 교육서비스, 금연치료제를 제공하고 퇴원 후 금연결심일로부터 6개월간 병원 외래 또는 지역금연지원센터 방문 예약을 통해 금연치료 및 상담을 제공",상시신청,한국건강증진개발원 국가금연지원센터 금연사업팀/02-3781-2221,"17개 지역금연지원센터에 신청(온, 오프라인(방문, 전화))",,기타||기타(상담),"중증고도흡연자, 시급하게 금연이 필요한 급만성질환을 가진 흡연자 등","중증고도흡연자, 시급하게 금연이 필요한 급만성질환을 가진 흡연자 등",,해당없음,"['금연', '흡연자', '치료', '금연지원', '입원환자', '금연상담', '금연치료']"
긴급돌봄 지원,"○ 일시적 위기상황에 대응하기 위한 한시적 재가 방문형 돌봄·가사 및 이동지원 및 방문목욕 서비스 제공
* 방문목욕은 일부 시·도에서 제공 중이며, 현장방문 결과와 상관없이 본인이 희망하는 경우 서비스를 제공받을 수 있음 (서비스 제공기간 내 최대 4회)
- (내용) 일정 자격을 갖춘 서비스 제공인력이 대상자의 가정을 방문해 기본돌봄 서비스(재가 돌봄, 가사·이동 지원) 및 방문목욕 서비스를 제공
- (시간) 최대 72시간의 범위 내에서 지원하며, 가급적 30일 이내에 사용을 권고
* 자세한 사항은 지자체(읍·면·동, 시·군·구)에 문의",지자체별 상이,긴급돌봄 대표번호/1522-0365,"○ (방문 신청) 신청자의 주민등록상 주소지의 읍·면·동 행정복지센터에 방문하여 신청
○ (온라인 신청) 복지로(www.bokjiro.go.kr)에 접속하여 신청
○ (전화·우편·팩스 신청) 부득이한 사유로 직접 방문이 불가할 경우, 전화, 우편, 팩스로도 신청 가능
* 우편, 팩스 신청자는 읍·면·동에 제출 사실을 확인하여야 함
○ (직권 신청) 읍·면·동 담당 공무원이 직권 신청하는 경우 신청자의 동의를 받아 신청서 대리 작성 및 제출",,서비스(돌봄),"주 돌봄자 부재, 질병, 부상 등으로 긴급하고 일시적 돌봄 지원이 필요하나 기존 서비스로 돌봄을 받기 어려운 국민","○ '가, 나, 다, 라'의 요건을 모두 충족하는 경우에 대상자로 선정
가. 긴급성 (한시성) : 아래 ➀ ~ ➂ 요건 중 하나 만족 필요
① 갑작스러운 질병 및 부상 또는 퇴원 후 한시적 돌봄 필요
- 급성기 질환(일시적 수술 등), 중증 질환 및 부상 등 발생으로 혼자 일상생활 수행이 어려워진 경우
- 병원에서 수술, 입원 치료 등을 마치고 퇴원 후 1달 이내 기간 동안 가족 등 돌볼 사람이 없는 경우
* 암, 뇌졸중, 낙상, 중증 외상 등으로 급성기 치료를 마친 후의 후유증 또는 회복기까지 요양이 필요해 혼자서 일상생활 수행이 어려운 자
② 주 돌봄자*의 갑작스러운 부재로 돌봄이 필요
* ‘주 돌봄자’란 가정 내에서 대상자를 주로 돌보던 사람을 의미하며 반드시 가족이어야만 하는 것은 아님
- 혼자 일상생활이 어려워 가족 등으로부터 돌봄을 받고 있었으나 주 돌봄자의 갑작스러운 부재가 발생한 경우
- ‘주 돌봄자’의 사망, 가출, 입원, 감염, 구금, 행방불명 등
③ 타 서비스 신청 후 처리기간 또는 기타 한시적 돌봄 필요
- 노인장기요양, 장애인활동지원 등 유사 돌봄서비스를 신청하고 대기 중인 자로, 유사 돌봄서비스 대상자로 결정될 때까지 실질적으로 돌볼 사람이 없는 경우
- 기존에 보유한 만성질환, 노쇠 등 진행으로 신체기능 저하가 발생하고, 한시적 지원 필요성이 현장 방문을 통해 확인된 경우
나. 돌봄 필요성
○ 혼자서는 독립적으로 일상생활 수행이 불가능하나, 돌볼 수 있는 가구원이 없는 경우(‘긴급돌봄 서비스 요구도 평가표’ 및 현장 방문으로 확인)
- 혼자서 식사하기, 옷입기, 체위변경 등 일상생활이 어려운 경우를 의미하며 질병, 수술 등의 경우에도 혼자 일상생활 수행이 가능한 자는 제외
- 돌볼 수 있는 가구원이 없는 경우는 실질적으로 동거하지 않거나 가구원이 생업에 종사하고 있어 실제적으로 돌볼 수 없는 경우를 모두 포함
다. 보충성
○ 다른 공적 돌봄 서비스를 받고 있지 않는 경우
- 노인장기요양, 일상돌봄(기본돌봄), 가사간병 지원, 장애인활동지원, 노인맞춤돌봄(중점돌봄군), 보훈재가복지서비스, 재가의료급여 시범사업(돌봄 지원), 의료·돌봄 통합지원 시범사업, 기타 지역 자체 돌봄서비스 등을 받고 있지 않아야 함
○ 제공할 수 있는 다른 공적 돌봄 서비스가 없는 경우
- 해당 가구에 적합한 공적 돌봄 서비스가 없어 긴급돌봄 서비스를 필요로 하는 자여야 함
라. 기타
○ (돌봄 장소) 긴급돌봄 서비스는 재가방문이 원칙이므로 재가 돌봄이 가능한 경우에 제공
○ (연령) 돌봄이 필요한 대상자는 19세 이상인 성인을 주 대상으로 함
* 19세 미만이나, 예외적으로 긴급한 지원이 필요하다고 긴급돌봄위원회 등을 통해 인정된 경우는 서비스 제공 가능
○ (국적) 대한민국 국적을 가진 자(난민, 외국인 제외)",http://www.bokjiro.go.kr,"○ 사회보장급여(사회서비스이용권) 신청서
○ 사회서비스 이용자 준수사항 안내확인 동의서
○ 신청 당사자의 신분증
○ 진단서 등 관련 서류
* 자세한 사항은 지자체(읍·면·동)에 문의","['긴급돌봄', '돌봄지원', '일시적돌봄', '재가방문', '방문목욕', '긴급지원', '지자체']"
일상돌봄 서비스,"대상자로 선정되면 필요에 맞게 서비스를 선택해 지자체에서 이용권(바우처)을 발급받은 후, 제공기관에서 서비스 이용
○ 기본서비스(24·36·72시간) 및 특화서비스(최대 2개)를 조합하여 이용 가능
- 기본서비스는 재가 돌봄(세면 등 신체청결, 옷 갈아입히기 등 몸단장 지원, 식사도움, 체위변경, 안전관리 등 신체 수발지원 및 건강지원 등), 가사 지원(청소, 세탁, 식사 준비 등 가정 내 일상생활을 위한 가정환경 마련) 제공
○ 특화서비스는 식사영양관리 서비스 등 11종을 제공
- 식사관리 서비스 : 질환 등으로 스스로 식사준비가 어려운 대상에게 맞춤형 식사 지원
- 영양관리 서비스 : 질환 등으로 스스로 식사준비가 어려운 대상에게 맞춤형 식사 지원 및 영양관리
- 병원 동행 서비스 : 거동이 불편한 이용자의 병원 이동 보조, 병원 접수·수납 등 지원
- 심리 지원 서비스 : 전문가에 의한 맞춤형 심리지원 실시
- 휴식 지원 서비스 : 단기 시설보호 지원
- 소셜 다이닝 서비스 : 생활에 필요한 요리를 배우고 함께 식사하는 기회를 통해 교류 및 사회참여 증진
- 교류증진 지원 서비스 : 지역주민과의 일상적 소통 및 교류 증진 프로그램 제공
- 건강생활 지원 서비스 : 중장년의 일상생활 건강 상담 및 생활운동 프로그램 지원
- 신체건강 증진 서비스 : 청년의 근력향상, 체력증진 등 개인 맞춤형 운동 지원
- 간병 교육 서비스 : 간병·돌봄 방법 등에 대한 교육 제공
- 독립생활 지원 서비스 : 청년 자립기반 조성을 위한 교육 프로그램 제공
* 지역별로 제공하는 특화서비스는 다름",접수기관 별 상이,보건복지부 보건복지상담센터/129,"○ (온라인신청) 복지로(www.bokjiro.go.kr) 홈페이지에 가입 후 진행
○ (방문신청) 신청자의 주민등록상 주소지의 읍면동 주민센터에 방문하여 신청
○ (전화·우편·팩스 신청) 거동 불편 등 부득이한 사유로 직접 방문이 불가능할 경우 전화, 우편 또는 팩스로도 신청 가능
- 읍·면·동 공무원이 직권 신청하는 경우 신청자의 동의(신청서)를 받아 신청서 대리 작성 및 신청",,이용권,"①일상생활에 돌봄이 필요한 청·중장년(19~64세)
②질병, 부상 등으로 일상 생활에 어려움이 있는 자(진단서·소견서·장기요양인정서·근로능력판정결과서 등 또는 공공·민간기관의 추천서)
③돌봄을 수행할 가족 등이 없는 자(주민등록상 1인 가구 또는 2인 가구이나 경제활동·장기 부재 등의 사유로 가구원 돌봄이 불가한 자)
* 위 세가지 조건을 모두 충족할 것
①가족을 돌보는 청년(9~39세)
②동거하는 가족의 질병, 부상 등으로 돌봄 필요성이 있는 자(진단서·소견서·장기요양인정서·근로능력판정결과서 등 또는 공공·민간기관의 추천서)
③동거 가족을 직접 돌보거나 가족 부양을 위해 경제활동을 하는 자(돌봄 대상 가족과 주민등록상 동거 또는 공공·민간기관 추천서 또는 경제활동을 증명할 재직증명서 등)
* 위 세가지 조건을 모두 충족할 것","①일상생활에 돌봄이 필요한 청·중장년(19~64세)
②질병, 부상 등으로 일상 생활에 어려움이 있는 자(진단서·소견서·장기요양인정서·근로능력판정결과서 등 또는 공공·민간기관의 추천서)
③돌봄을 수행할 가족 등이 없는 자(주민등록상 1인 가구 또는 2인 가구이나 경제활동·장기 부재 등의 사유로 가구원 돌봄이 불가한 자)
* 위 세가지 조건을 모두 충족할 것
①가족을 돌보는 청년(9~39세)
②동거하는 가족의 질병, 부상 등으로 돌봄 필요성이 있는 자(진단서·소견서·장기요양인정서·근로능력판정결과서 등 또는 공공·민간기관의 추천서)
③동거 가족을 직접 돌보거나 가족 부양을 위해 경제활동을 하는 자(돌봄 대상 가족과 주민등록상 동거 또는 공공·민간기관 추천서 또는 경제활동을 증명할 재직증명서 등)
* 위 세가지 조건을 모두 충족할 것",http://www.bokjiro.go.kr,"ㅇ 본인이 신청하는 경우
- 사회보장급여(사회서비스이용권) 신청서(일상돌봄 서비스 사업안내 제1호 서식)
- 사회서비스 이용자 준수사항 안내확인 동의서(일상돌봄 서비스 사업안내 제1-2호 서식)
- 신청자 신분증(주민등록증, 여권, 운전면허증, 국가유공자증 등 국가기관이나 지방자치단체가 발행한 신분증명서류)
*대리신청 시 위임장(일상돌봄 서비스 사업안내 제1-1호 서식) 및 대리신청자의 신분증 추가 제출 필요
- 증빙서류 : 신청자 유형별 해당하는 서류로 관할 시군구청 및 읍명동 행정복지센터로 문의","['청년', '돌봄서비스', '대상자', '식사영양관리', '병원동행', '심리지원', '독립생활지원']"
기초연금 수급자 확인서,기초연금 수급자 확인서 발급,상시신청,보건복지상담센터/129||국민연금공단 콜센터/1355,읍면동 행정복지센터(주민센터) 방문 또는 복지로 온라인 신청,,현금,"○ 만 65세 이상 노인으로 소득 인정액이 선정기준액(보건복지부 장관이 매년 결정·고시하는 금액) 이하인 자
○ 대상자 : 만 65세 이상 노인인구의 70% 수준","○ 연령 요건 : 만 65세 이상
○ 소득 인정액 기준
- 가구의 소득 인정액이 선정기준액 이하일 것
- 2025년도 선정기준액
· 단독 가구 : 228만 원
· 부부 가구 : 364.8만 원
○ 소득 인정액 = ①월 소득평가액 + ②재산의 월 소득환산액
① 월 소득평가액 = {0.7 x (근로소득 - 112만 원)}* + 기타 소득**
- 상시 근로소득에서 112만 원 공제 후 30% 추가공제
- 기타소득 : 사업소득, 재산소득, 공적이전소득, 무료 임차 소득
② 재산의 월 소득환산액
= [ {(일반재산 - 기본재산액) + (금융 재산 - 2,000만 원) - 부채} × 재산의 소득환산율 ÷ 12월] + P
- 기본재산 : 대도시 1억 3천5백만 원, 중소도시 8천5백만 원, 농어촌 7천2.5백만 원
- P : 고급 자동차 및 회원권의 가액
※ 고급 자동차 및 회원권은 일반재산에서 제외한 후 계산
○ 직역연금 요건
- 공무원연금, 사립학교교직원연금, 군인연금, 별정우체국직원연금의 수급자 및 배우자는 대상에서 제외",https://www.bokjiro.go.kr/ssis-tbu/twoae/certfIssuAplyMng/retrieveCertfIssuAplyChc.do,- 신분증,"['노인', '기초연금', '소득', '수급자', '서비스명']"
장기요양급여비용 본인부담금 감경,"장기요양급여 이용 후 발생한 급여비용에 대한 수급자의 본인부담비용 감경
- (40% 감경) 가입자 종류 및 가구원수별 산정보험료 순위 25%초과 50%이하인 자
- (60% 감경) 보험료 순위 25%이하인 자, 「의료급여법」제3조제1항제2호부터 제9호까지의 규정에 따른 수급권자, 「국민건강보험법 시행규칙」제15조에 따라 국민건강보험공단으로부터 건강보험 본인부담액 경감 인정을 받은 자 등",상시신청,국민건강보험공단/1577-1000,"해당 서비스는 별도의 신청 절차 없이 자격대상자에게 자동적으로 제공되나, 공단이 장기요양 본인부담금 감경에 관한 고시 제2조제1항제4호 및 제2조제2항제1호의 감경 적용기준에 따른 감경대상 여부를 확인할 수 없는 경우에는 장기요양보험가입자 또는 그 피부양자로부터 본인부담금 감경신청을 받아 본인부담금을 감경할 수 있음
이 경우 동 고시 별지 제1호 서식에 따른 본인부담금 감경신청서를 공단에 제출",,현금(감면),"(40% 감경) 가입자 종류 및 가구원수별 산정보험료 순위 25%초과 50%이하인 자
(60% 감경) 보험료 순위 25%이하인 자, 「의료급여법」제3조제1항제2호부터 제9호까지의 규정에 따른 수급권자, 「국민건강보험법 시행규칙」제15조에 따라 국민건강보험공단으로부터 건강보험 본인부담액 경감 인정을 받은 자 등",건강보험공단에서 매월 말 수급자의 건강보험료 등을 확인 후 결정하여 대상자에게 개별 통보,,"별도 신청절차 없으나, 감경 해지자 중 보험료가 변동되는 등의 사유로 감경기준에 해당될 시 장기요양 본인부담금 감경에 관한 고시 별지 제1호 서식에 따른 본인부담금 감경신청서 제출 필요","['장기요양급여비용', '본인부담금 감경', '수급자', '건강보험', '본인부담액', '의료급여법', '국민건강보험법']"
관광진흥개발기금 융자지원,"○ 시설자금
- 신축 : 반기 소요자 금의 100%, 150억원 이내(중견기업, 특급호텔 70%, 75억원)
· 관광지, 관광단지, 관광특구 내 시설은 200억 원 이내
- 개보수 : 반기 소요자 금의 100%, 80억원 이내(중견기업, 특급호텔 70%, 40억원)
○ 운영자금 : 최근 1년간 영업비용의 50%, 30억원이내", 2024.12.30.(월)~2025.5.16(금) /  ※ 예산 소진 시 조기 종료될 수 있음,관광기금 융자상시지원센터/02-757-7485,"1. 문체부는 융자업무 처리지침을 누리집(www.mcst.go.kr)에 공고(6ㆍ12월, 연 2회)하며, 이에 따라 해당반기 자금이 필요한 관광 사업체가
융자신청서 등 관련 서류를 구비하여 시중은행(운영자금의 경우 업종별 협회)에 제출
2. 시중은행(운영자금의 경우 업종별 협회)은 융자대상 업체 및 업체별 서류 및 대출승인 후 문체부에 배정 요청
3. 문체부는 융자예산의 범위 내에서 업체별 융자배정액을 확정하고, 이를 은행 및 협회 등에 통지
4. 관광사업체는 확정된 융자배정액 범위 내에서 융자업무 처리지침에 따라 은행에 융자 신청, 취급은행은 자체 여신규정 등에 의거 재무건전성,
사업성, 상환능력, 담보 규모 등을 심사하여 집행","○시설자금-방문 : 한국산업은행 등 14개 취급은행 영업점 / ○운영자금-방문 , 우편,  온라인 : 한국관광협회중앙회 등 업종별 협회 ",현금(융자),"○ 관광진흥법에 의한 관광사업체 (시설 확충, 운영자금)
- 여행업, 호텔업, 휴양업 등 47개 업종, 관광지, 단지 조성 사업 등","○ 시설자금 = 융자 한도 내에서 신청금액 전액(100%)을 배정할 수 있음
○ 운영자금 = 최근 1년간 영업비용의 50%, 30억원 이내 등",http://www.loantourism.kr,"○ 관광기금 융자지원지침을 참고하여 업종별 신청서류 제출
- 신청서, 관광사업 등록증, 사업 계획승인서, 건축허가서, 호텔 등급 인정증, 개발행위 허가서 등","['관광진흥', '융자지원', '시설자금', '운영자금', '관광사업체', '중견기업', '특급호텔']"
스포츠 강좌 이용권 지원,○ 1인당 월 10.5만 원 이내 스포츠강좌 수강료 지원,자세한 날짜는 읍면동 주민센터에 따라 다를 수 있음,국민체육진흥공단(스포츠강좌이용권)/02-410-1298~9,"○ 방문 신청 : 주민등록상 관할 시군구청, 주민센터 방문 서면신청서 작성 제출
○ 온라인 신청 : 스포츠 강좌 이용권 홈페이지(www.svoucher.or.kr)에서 회원가입후 신청",주민센터,이용권,"○ 만5~ 만18세 기초, 차상위가구 유청소년
- 「국민기초생활보장법」에 따른 생계, 의료, 주거, 교육급여 수급 가구 및 차상위* 계층
* 차상위 장애, 자활근로, 본인부담경감, 차상위계층 확인서 발급대상(구 우선돌봄차상위)/ 법정 한부모 보호가구","○ 기초 생활수급권자 가구 중 만 5세~만 18세 유·청소년
- 신청자가 없는 경우 동일 연령 차상위계층까지 확대 가능
○ 대상자 우선순위
1순위 : 신규 및 30개월* 미만 이용자 중 생계·의료·주거급여 대상자
2순위 : 신규 및 30개월* 미만 이용자 중 차상위계층, 법정한부모가정 대상자
3순위 : 30개월 이상 이용자 중 생계·의료·주거급여 대상자
4순위 : 30개월 이상 이용자 중 차상위계층, 법정한부모가정 대상자
* 스포츠강좌이용권 최근 4년간 누적 결제 횟수",http://svoucher.kspo.or.kr,해당없음,"['청년', '주거안정', '저소득층', '대출', '신혼부부', '장애인']"
문화로 치유 지원,"경도인지장애 노인, 폭력·범죄 피해 국민 등 대상 문화예술치유 프로그램 제공",모집공고 시 제공,한국문화예술교육진흥원 가치확산팀/02-6209-5850,온라인 또는 방문 접수,한국문화예술교육진흥원 가치확산팀,기타(교육),"학폭 피·가해자, 정신건강 상담수요자, 경도인지장애 및 치매 위험자, 고립·운둔 청년, 심리·정서적 위기 청소년, 문화로 치유지원이 필요한 국민 등","학폭 피·가해자, 정신건강 상담수요자, 경도인지장애 및 치매 위험자, 고립·운둔 청년, 심리·정서적 위기 청소년, 문화로 치유지원이 필요한 국민 등",http://www.arte.or.kr,해당없음,"['청년', '저소득층', '장애인', '문화로 치유', '상담수요자']"
지역자율형 생활체육활동 지원(어르신 체육활동 지원),"○ 어르신 대상 맞춤형 생활체육교실 운영
○ 지자체별 어르신 대상 생활체육 기획사업 * 지자체별 사업내용 상이",모집공고 시 제공,문화체육관광부 스포츠혁신지원과/044-203-31965,"○ 지역별 시도 체육회 또는 19개 종목단체 유선 확인후, 방문 신청
* (지자체별 생활체육 기획사업) 지자체별 상이",해당 지역의 시도 체육회 또는 종목단체,기타(교육),○ 60세 이상 어르신 누구나,지원대상과 동일,,해당없음,"['어르신', '생활체육활동', '지자체별', '운영', '맞춤형']"
장애 체육인 생활지원금 지원,"장애 국가대표 선수, 지도자 중 경제적으로 어려운 자(‘국민기초생활 보장법’에 따른 수급자, 차상위계층 등)에게 월 50만 원씩 10개월 지급",모집공고 시 제공,국민체육진흥공단 체육인복지사업팀/02-410-1623,"1 대상자가 해당 가맹 경기단체로 신청
2. 가맹 경기단체에서 대상자를 대한체육회 또는 대한장애인체육회로 추천
3. 대한체육회 또는 대한장애인체육회에서 대상자를 국민체육진흥공단으로 추천",국민체육진흥공단 체육인복지사업팀,현금,"생활보조비 : 장애 국가대표,지도자 중 에 따른 수급자 등 경제적으로 어려운 자","예산 범위 내에서 규정 요건에 적합하면 선정하되, 국민체육진흥공단에서 지원하는 각종 지원금을 받지 않은 자를 우선 선정",,체육인 복지 지원사업 시행지침 운영규정 별지 22호 서식,"['장애인', '저소득층', '지원금', '생활보조비', '국가대표', '수급자']"
장애 체육인 장학금 지원,우수한 꿈나무 장애 학생선수에 대하여 1인당 연간 최대 200만원의 범위내에서 예산 등을 고려하여 지원,모집공고 시 제공,국민체육진흥공단 체육인복지사업팀/02-410-1623,대상자가 가맹 경기단체 또는 시도체육회로 신청 -> 가맹 경기단체 또는 시도체육회에서 대한체육회 또는 대한장애인체육회로 대상자 추천 -> 대한체육회 또는 대한장애인체육회에서 대상자를 공단으로 추천,국민체육진흥공단 체육인복지사업팀,현금(장학금),체육회 또는 경기단체가 주관하는 전국규모대회 등에서 입상 또는 우수선수로 선정된 장애 학생선수 등,지원대상과 동일,,"입상확인서, 추천서 등","['장애인', '체육인', '장학금', '지원', '학생선수', '우수선수', '체육회']"
도박문제 전화·온라인 상담(도박문제 헬프라인 1336(무료)/넷라인) 서비스,"○ 도박문제 전화상담 서비스(국번 없이 ☎1336(무료))
- 365일(24시간) 운영되는 전국 단위의 도박문제 전화상담 제공
* 코로나19 관련 사회적 거리두기 3단계일 경우 운영시간이 조정될 수 있음
- 지역센터(14개), 민간상담전문기관(34개) 등 유관기관 연계서비스 제공
○ 도박문제 온라인상담 서비스(https://netline.kcgp.or.kr)
- 365일(09:00~21:30) 운영되는 온라인 기반 실시간 채팅 및 게시판 상담 제공
- 넷라인 사이트를 통한 상담 서비스, 치유콘텐츠, 자가치유 서비스 등 제공
○ 상담 안내
- 전화상담 : 국번없이 ☎1336(무료)
- 온라인상담 : 도박문제 넷라인 사이트 접속(https://netline.kcgp.or.kr)
- 상담비 : 무료",접수기관 별 상이,한국도박문제예방치유원 헬프라인팀/02-740-9090,"○ 전화 상담 : 국번없이 1336으로 전화상담 신청
○ 온라인 상담 : 도박문제 넷라인 사이트(https://netline.kcgp.or.kr)를 접속하여 온라인 상담 신청",한국도박문제예방치유원,기타(상담),○ 도박문제로 어려움을 겪고 있는 당사자 및 가족 등,지원대상과 동일,https://netline.kcgp.or.kr,해당없음,"['도박문제', '전화상담', '온라인상담', '가족', '무료', '상담서비스']"
글로벌 광고인재 육성,"○ 교육과정 : 정규교육과정, 특별교육과정(국제광고제 출품반, 카피라이터 육성반 등)",모집공고 시 제공,문화체육관광부 방송영상광고과/044-203-3233,모집공고문 확인,문화체육관광부,기타(교육),○ 대학생. 휴학생 및 졸업생,○ 모집공고문 확인,,모집공고문 확인,"['청년', '대학생', '휴학생', '졸업생', '창업지원', '글로벌', '광고인재']"
관광통역안내사 전시 해설 교육 제공 서비스,"○ 박물관 전시 연계 주제별 민속 문화 강좌, 전시실 설명 관람",모집공고 시 제공,국립민속박물관 섭외교육과/02-3704-3123,신청서 전자메일로 신청,섭외교육과,기타(교육),○ 관광통역안내사 및 외국인 관광 관련 종사자,○ 모집공고문 확인,http://www.nfm.go.kr,모집공고문 확인,"['청년', '창업지원', '외국인', '관광통역안내사', '교육', '전시해설', '민속문화']"
장애 체육인 원로체육인 지원,"ㅇ 의료비 지원: 1년 이상 장기요양 대상 진료일수 180일 이내 입원진료 및 외래진료 금액 지원(30백만원 범위 내)
ㅇ 생계비 지원: 국민기초생활보장법에 따른 수급자 또는 차상위 계층 대상 10백만원 이내 지원",모집공고 시 제공,국민체육진흥공단 체육인복지사업팀/02-410-1623,대상자가 직접 국민체육진흥공단에 신청,,현금,장애인체육진흥에 공로가 있는 60세 이상 체육인,예산 범위 내에서 규정 요건에 적합하면 선정,,"신청서, 체육진흥공적 증명 서류, 소득증명원 등","['장애인', '원로체육인', '의료비지원', '생계비지원', '60세이상', '체육인']"
장애 체육인 교육지원금,"ㅇ국내대학원교육지원금 : 국내대학원 진학을 희망하는 국가대표 선수/지도자 대상, 학기당 300만원 범위 내의 입학금 및 등록금
ㅇ국외유학교육지원금 : 국가대표 선수·지도자 중 체육분야 국외유학을 희망하는 사람 중 해당 외국어시험에서 정한 기준점수 이상을 취득한 자 대상, 국외유학에 필요한 입학금 및 등록금, 항공료, 체재비 지원",모집공고 시 제공,국민체육진흥공단 체육인복지사업팀/02-410-1623,"1 대상자가 해당 가맹 경기단체로 신청
2. 가맹 경기단체에서 대상자를 대한체육회 또는 대한장애인체육회로 추천
3. 대한체육회 또는 대한장애인체육회에서 대상자를 공단으로 추천",,현금,"장애인 국가대표 선수, 지도자",선정위원회 평가 등 종합 평가점수 순위에 따라 선정,,"ㅇ국내대학원 : 추천서, 재학증명서, 등록금영수증, 학업계획서, 통장사본 등
ㅇ국외유학 : 추천서, 서약서, 재정보증서, 입학허가서, 해당 외국어 성적표, 국외수학계획서, 병적증명서 등","['장애인', '국가대표 선수', '지도자', '대학원 교육지원금', '국외유학 교육지원금']"
통합문화이용권(바우처) 지원,"○ 통합문화이용권(문화누리카드) 발급
- 문화누리카드 이용분야: 문화예술 프로그램(영화, 공연, 전시 등) 관람, 도서 또는 음반 구매, 국내 여행(관광지, 숙박, 철도 등), 체육활동(농구, 축구, 야구, 배구 관람 및 체육용품 구매, 체육시설 이용 등)
- 문화누리카드 지원금액 : 개인당 1매 발급 ('25년 1인당 연 14만 원 지원)",2025.2.3.~2025.11.28.(주민센터 및 온라인 발급기간 동일),한국문화예술위원회/1544-3412,"○ 방문 신청 : 읍면동 주민센터 방문
(거주지 외의 지역 주민센터에서도 신청가능)
○ 온라인 신청 : 신규발급, 재충전, 재발급
- 온라인 : 누리집(www.mnuri.kr) 접속, 본인인증후 신청
- 모바일 앱 : 문화누리 모바일 앱 실행, 본인인증 후 신청
* 만 14세이상 가능
* 간편인증(네이버, PASS), 디지털원패스, 휴대전화, 아이핀, 공동인증서를 활용한 본인인증 필요
○ 전화 신청 : 재충전만 가능
- 전화(1544-3412) 연결후 자동음성 안내에 따라 신청
* 만 14세이상, 본인명의 휴대전화 소지한 대상자만 가능
※ 단, 복지시설 거주자 및 공인인증서 등 본인 인증 수단이 없는 경우는 주민센터 방문 신청만 가능""",주민센터,이용권,○ 기초생활보장 수급자 및 차상위 계층 (6세 이상),"○ 6세 이상의 기초생활수급자 및 차상위계층(2019.12.31. 이전 출생자)
- 기초생활보장 수급자: 생계, 의료, 주거, 교육급여 수급자, 조건부 수급자, 보장시설 수급자
- 차상위계층: 차상위자활근로자, 장애수당 수급자, 장애아동수당 수급자, 장애인연금 부가급여 수급자(차상위초과자 제외), 본인부담경감대상자, 저소득한부모가족, 차상위계층확인서발급자(구 우선돌봄차상위), 교육급여수급자(학생)의 나머지 가구원""",http://www.mnuri.kr,"(구비서류)
○ 온라인: 본인 명의 휴대폰과 공인인증서 필요
○ 주민센터 신청 시
(공통서류: 발급 신청서 *주민센터 구비)
- 본인 신청: 신청자 신분증
- 대리 신청: 신청자 신분증, 대리인 신분증, 문화이용권 신청 위임장
- 본인 신청: 신청자 신분증
- 법정대리인 신청: 법정대리인 신분증, 신청인(아동) 기본증명서(상세), 신청인 가족관계증명서
- 세대주 또는 세대원(성인) 신청: 세대주 또는 세대원(성인) 신분증, 주민등록등본
- 신청자 본인의 위임을 받은 대리인 신청: 신청자 신분증, 대리인 신분증, 문화이용권 신청 위임장
- 법정대리인의 위임을 받은 대리인 신청: 대리인 신분증, 법정대리인 신분증, 신청인(아동) 기본증명서(상세), 신청인(아동) 가족관계증명서, 문화이용권 신청 위임장
- 세대주(성인 세대원)의 위임을 받은 대리인 신청: 대리인 신분증, 세대주 또는 세대원(성인) 신분증, 주민등록등본, 문화이용권 신청 위임장
- 법정대리인 신청: 법정대리인 신분증, 신청인(아동) 기본증명서(상세), 신청인 가족관계증명서
- 세대주 또는 세대원(성인) 신청: 세대주 또는 세대원(성인) 신분증, 주민등록등본
- 법정대리인의 위임을 받은 대리인 신청: 대리인 신분증, 법정대리인 신분증, 신청인(아동) 기본증명서(상세), 신청인(아동) 가족관계증명서, 문화이용권 신청 위임장
- 세대주(성인 세대원)의 위임을 받은 대리인 신청: 대리인 신분증, 세대주 또는 세대원(성인) 신분증, 주민등록등본, 문화이용권 신청 위임장
- 본인 신청: ①법정대리인 신분증, 신청인(아동) 기본증명서(상세), 신청인 가족관계증명서, 문화이용권 신청 위임장 또는 ②세대주 또는 세대원(성인) 신분증, 주민등록등본, 문화이용권 신청 위임장
- 복지시설(대표자) 신청: 신청자 신분증, 복지시설 대표자 신분증, 복지시설 발급신청서, 복지시설 거주자 확인서(자체 양식)
- 복지시설 대표자의 대리인 신청: 신청자 신분증, 복지시설 대표자 신분증, 대리인 신분증, 복지시설 발급신청서, 복지시설 대표자의 위임장, 복지시설 거주자 확인서(자체 양식)""","['저소득층', '문화누리카드', '문화이용권', '체육활동', '국내여행']"
